French,English
cas,case
vont,will
chaque,each
terre,Earth
place,square
tué,kill
type,type
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,handsome
vers,towards
mme,Mrs
prie,pray
devant,in front of
trouve,find
partie,part
suite,after
compris,understood
matin,morning
leurs,their
aucun,no
arrivé,come
dessus,above
chérie,sweetheart
mettre,to put
aide,help
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,kind
aimerais,would like to
droit,law
donne,given
attendez,Wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,large
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,pass away
dernière,latest
donné,given
ia,ia
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,placed
film,movie
aucune,any
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,case
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,in law
fou,crazy
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,outside
filles,girls
cause,cause
vivre,live
près,near
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,request
possible,possible
mains,hands
ainsi,so
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,market
tour,tower
école,school
manger,eat
plutôt,rather
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,Stop
essaie,try
envie,desire
bientôt,soon
instant,moment
dernier,latest
affaires,business
arriver,arrive
demander,request
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,dr
tellement,so much
tomber,fall
journée,day
voulait,wanted to
appeler,call
bureau,office
confiance,trust
garde,keep
attendre,wait
numéro,number
serai,will
dur,hard
á,at
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,Good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,trouble
croyais,thought
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog
jeu,Game
seigneur,Lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,They
dedans,in
entrer,enter
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,return
ait,has
musique,music
arrêtez,stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,phone
retour,return
ira,will
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,thought
l,l
impossible,impossible
fête,Party
adore,love
coeur,heart
aimes,love
ci,this
ferai,will
président,President
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,jail
john,john
sors,go outside
café,Coffee
vaut,worth
mauvais,bad
chéri,Darling
oublié,forget it
bras,arms
i,i
gentil,kind
faute,fault
équipe,team
exactement,exactly
cœur,heart
penser,think
changer,switch
commence,begin
lieu,location
entendre,hear
ies,ies
roi,King
plan,plan
partout,all over
joue,play
cher,expensive
morts,dead
rendre,return
écrit,written
travailler,to work
malade,sick
sinon,if not
génial,awesome
regarder,watch
veulent,want
montrer,to show
rentre,returns
travaille,work
armée,army
voulu,desired
cherche,looking
état,state
boire,to drink
sécurité,security
dès,from
esprit,mind
année,year
dix,ten
york,york
laissé,leash
bois,wood
mets,dish
propre,clean
soyez,are
jack,jack
essayer,try
faisait,was
tôt,early
surtout,mostly
arme,armed
t,t
rêve,dream
perdre,to lose
avis,view
semble,seems
pire,worst
simple,simple
penses,think
parles,talk
paix,peace
livre,delivered
dormir,to sleep
voyons,see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,subject
appris,learned
ensuite,then
sauf,except
maître,master
morte,dead woman
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would
écoute,listen
sale,dirty
étiez,were
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,Photo
rue,street
tirer,shoot
comprendre,understand
face,face
semaines,weeks
marché,market
questions,Questions
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,path
grave,serious
gauche,left
petits,small
courant,current
amie,friend
nouvelles,news
avion,plane
con,cunt
content,happy
force,strength
millions,million
oublie,forget it
devoir,duty
prochaine,next
prix,price
propos,about
bateau,boat
bouge,moves
voix,voice
rouge,red
restez,stay
celle,that
pouvais,could
personnes,people
ferais,would
début,beginning
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,fate
faim,hunger
long,long
j,j
voyage,trip
message,message
sorte,kind
reçu,received
bienvenue,welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,to become
ouvre,opens
grâce,grace
sûre,safe
problèmes,problems
armes,arms
trucs,stuff
camp,camp
allais,going
occupe,busy
devait,was
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,Sun
salle,room
gagner,to win
laissez,leave
erreur,error
cru,vintage
pars,leave
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,background
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,begin
sauver,to save
seconde,second
pensez,think
allô,Hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,shalt
pied,foot
jolie,pretty one
revenir,come back
scène,scene
pieds,feet
n,not
devons,must
groupe,group
carte,menu
aurai,have
effet,effect
neuf,new
fallait,needed
monte,mounted
battre,beat
noël,Christmas
venue,arrival
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will
faux,false
bordel,whorehouse
foutre,fuck
lumière,light
euh,uh
incroyable,unbelievable
tue,kill
joli,pretty
connaît,knows
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,george
joe,joe
vieille,old
entrez,Come in
intérieur,inside
coin,corner
auras,get
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,magnificent
dos,back
occuper,to occupy
présent,present
retrouver,find
réussi,success
frank,frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,slowly
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,completed
agit,is
blanc,White
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,finish
touche,touch
avance,advanced
ignore,unknown
meurtre,murder
tranquille,quiet
anniversaire,anniversary
déjeuner,lunch
disais,said
bord,edge
tom,tom
jeunes,youth
accident,accident
parlez,speak
fasse,make
complètement,completely
déteste,hated
clair,clear
marcher,walk
disait,said
mauvaise,bad
envoyé,sent
â,at
professeur,professor
heureuse,happy
doivent,have to
midi,midday
lire,read
moyen,way
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,form
tombe,falls
silence,silence
sortez,get out
connaître,know
puisse,can
cadeau,gift
flics,cops
mer,Wed
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,b
su,knew
porter,carry
télé,TV
vivant,living
jure,sworn
disent,say
mr,mr
serez,will
devriez,should
devenu,become
aimé,love
diable,Devil
ligne,line
mission,mission
suppose,Assumed
chacun,each
autour,around
pote,mate
grosse,big
expliquer,explain
arrivée,arrival
monter,ascend
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,faded away
tenir,hold
simplement,simply
quitter,to leave
envoie,send
paul,paul
aimer,like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,post
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy woman
michael,michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,to follow
aille,go
oublier,forget
peuple,people
baiser,kiss
rencontré,meet
honte,shame
connard,shithead
trou,hole
retourner,return
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,reply
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,makes
compagnie,company
connu,known
secours,help
danse,dance
met,puts
vol,flight
vit,lives
conneries,bullshit
aurez,will
imagine,conceived
boîte,box
joué,play
triste,sad
sud,South
lu,read
tel,Phone
merveilleux,wonderful
pute,bitch
aie,Ouch
ressemble,looks like
coucher,sleep
ennuis,trouble
volé,Fly
sortie,exit
devais,had
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,stupid
retourne,return
approche,approach
pourtant,However
plusieurs,many
rire,to laugh
but,goal
sergent,sergeant
public,public
